grantee,table_name,privilege_type
anon,nav_snapshots,REFERENCES
anon,nav_snapshots,SELECT
anon,nav_snapshots,TRIGGER
anon,nav_snapshots,TRUNCATE
anon,nav_snapshots,UPDATE
anon,nominee_claims,DELETE
anon,nominee_claims,INSERT
anon,nominee_claims,REFERENCES
anon,nominee_claims,SELECT
anon,nominee_claims,TRIGGER
anon,nominee_claims,TRUNCATE
anon,nominee_claims,UPDATE
anon,nominees,DELETE
anon,nominees,INSERT
anon,nominees,REFERENCES
anon,nominees,SELECT
anon,nominees,TRIGGER
anon,nominees,TRUNCATE
anon,nominees,UPDATE
anon,notifications,DELETE
anon,notifications,INSERT
anon,notifications,REFERENCES
anon,notifications,SELECT
anon,notifications,TRIGGER
anon,notifications,TRUNCATE
anon,notifications,UPDATE
anon,regions,DELETE
anon,regions,INSERT
anon,regions,REFERENCES
anon,regions,SELECT
anon,regions,TRIGGER
anon,regions,TRUNCATE
anon,regions,UPDATE
anon,settlement_batches,DELETE
anon,settlement_batches,INSERT
anon,settlement_batches,REFERENCES
anon,settlement_batches,SELECT
anon,settlement_batches,TRIGGER
anon,settlement_batches,TRUNCATE
anon,settlement_batches,UPDATE
anon,settlement_uploads,DELETE
anon,settlement_uploads,INSERT
anon,settlement_uploads,REFERENCES
anon,settlement_uploads,SELECT
anon,settlement_uploads,TRIGGER
anon,settlement_uploads,TRUNCATE
anon,settlement_uploads,UPDATE
anon,subscriber_balances,DELETE
anon,subscriber_balances,INSERT
anon,subscriber_balances,REFERENCES
anon,subscriber_balances,SELECT
anon,subscriber_balances,TRIGGER
anon,subscriber_balances,TRUNCATE
anon,subscriber_balances,UPDATE
anon,subscriber_balances_pre_nav,DELETE
anon,subscriber_balances_pre_nav,INSERT
anon,subscriber_balances_pre_nav,REFERENCES
anon,subscriber_balances_pre_nav,SELECT
anon,subscriber_balances_pre_nav,TRIGGER
anon,subscriber_balances_pre_nav,TRUNCATE
anon,subscriber_balances_pre_nav,UPDATE
anon,subscriber_insurance_products,DELETE
anon,subscriber_insurance_products,INSERT
anon,subscriber_insurance_products,REFERENCES
anon,subscriber_insurance_products,SELECT
anon,subscriber_insurance_products,TRIGGER
anon,subscriber_insurance_products,TRUNCATE
anon,subscriber_insurance_products,UPDATE
anon,subscriber_signup_uploads,DELETE
anon,subscriber_signup_uploads,INSERT
anon,subscriber_signup_uploads,REFERENCES
anon,subscriber_signup_uploads,SELECT
anon,subscriber_signup_uploads,TRIGGER
anon,subscriber_signup_uploads,TRUNCATE
anon,subscriber_signup_uploads,UPDATE
anon,subscribers,DELETE
anon,subscribers,INSERT
anon,subscribers,REFERENCES
anon,subscribers,SELECT
anon,subscribers,TRIGGER
anon,subscribers,TRUNCATE
anon,subscribers_unit_value_pre_nav,DELETE
anon,subscribers_unit_value_pre_nav,INSERT
anon,subscribers_unit_value_pre_nav,REFERENCES
anon,subscribers_unit_value_pre_nav,SELECT
anon,subscribers_unit_value_pre_nav,TRIGGER
anon,subscribers_unit_value_pre_nav,TRUNCATE
anon,subscribers_unit_value_pre_nav,UPDATE
anon,transactions,DELETE
anon,transactions,INSERT
anon,transactions,REFERENCES
anon,transactions,SELECT
anon,transactions,TRIGGER
anon,transactions,TRUNCATE
anon,transactions,UPDATE
anon,users,DELETE
anon,users,INSERT
anon,users,REFERENCES
anon,users,TRIGGER
anon,users,TRUNCATE
anon,withdrawals,DELETE
anon,withdrawals,INSERT
anon,withdrawals,REFERENCES
anon,withdrawals,SELECT
anon,withdrawals,TRIGGER
anon,withdrawals,TRUNCATE
anon,withdrawals,UPDATE
authenticated,access_requests,DELETE
authenticated,access_requests,INSERT
authenticated,access_requests,REFERENCES
authenticated,access_requests,SELECT
authenticated,access_requests,TRIGGER
authenticated,access_requests,TRUNCATE
authenticated,access_requests,UPDATE
authenticated,agent_referrals,DELETE
authenticated,agent_referrals,INSERT
authenticated,agent_referrals,REFERENCES
authenticated,agent_referrals,SELECT
authenticated,agent_referrals,TRIGGER
authenticated,agent_referrals,TRUNCATE
authenticated,agent_referrals,UPDATE
authenticated,agents,DELETE
authenticated,agents,INSERT
authenticated,agents,REFERENCES
authenticated,agents,SELECT
authenticated,agents,TRIGGER
authenticated,agents,TRUNCATE
authenticated,agents,UPDATE
authenticated,branches,DELETE
authenticated,branches,INSERT
authenticated,branches,REFERENCES
authenticated,branches,SELECT
authenticated,branches,TRIGGER
authenticated,branches,TRUNCATE
authenticated,branches,UPDATE
authenticated,claims,DELETE
authenticated,claims,INSERT
authenticated,claims,REFERENCES
authenticated,claims,SELECT
authenticated,claims,TRIGGER
authenticated,claims,TRUNCATE
authenticated,claims,UPDATE
authenticated,commission_config,DELETE
authenticated,commission_config,INSERT
authenticated,commission_config,REFERENCES
authenticated,commission_config,SELECT
authenticated,commission_config,TRIGGER
authenticated,commission_config,TRUNCATE
authenticated,commission_config,UPDATE
authenticated,commissions,DELETE
authenticated,commissions,INSERT
authenticated,commissions,REFERENCES
authenticated,commissions,SELECT
authenticated,commissions,TRIGGER
authenticated,commissions,TRUNCATE
authenticated,commissions,UPDATE
authenticated,contact_submissions,DELETE
authenticated,contact_submissions,INSERT
authenticated,contact_submissions,REFERENCES
authenticated,contact_submissions,SELECT
authenticated,contact_submissions,TRIGGER
authenticated,contact_submissions,TRUNCATE
authenticated,contact_submissions,UPDATE
authenticated,contribution_run_uploads,DELETE
authenticated,contribution_run_uploads,INSERT
authenticated,contribution_run_uploads,REFERENCES
authenticated,contribution_run_uploads,SELECT
authenticated,contribution_run_uploads,TRIGGER
authenticated,contribution_run_uploads,TRUNCATE
authenticated,contribution_run_uploads,UPDATE
authenticated,contribution_runs,DELETE
authenticated,contribution_runs,INSERT
authenticated,contribution_runs,REFERENCES
authenticated,contribution_runs,SELECT
authenticated,contribution_runs,TRIGGER
authenticated,contribution_runs,TRUNCATE
authenticated,contribution_runs,UPDATE
authenticated,contribution_schedules,DELETE
authenticated,contribution_schedules,INSERT
authenticated,contribution_schedules,REFERENCES
authenticated,contribution_schedules,SELECT
authenticated,contribution_schedules,TRIGGER
authenticated,contribution_schedules,TRUNCATE
authenticated,contribution_schedules,UPDATE
authenticated,custody_transfers,DELETE
authenticated,custody_transfers,INSERT
authenticated,custody_transfers,REFERENCES
authenticated,custody_transfers,SELECT
authenticated,custody_transfers,TRIGGER
authenticated,custody_transfers,TRUNCATE
authenticated,custody_transfers,UPDATE
authenticated,demo_personas,DELETE
authenticated,demo_personas,INSERT
authenticated,demo_personas,REFERENCES
authenticated,demo_personas,SELECT
authenticated,demo_personas,TRIGGER
authenticated,demo_personas,TRUNCATE
authenticated,demo_personas,UPDATE
authenticated,distributors,DELETE
authenticated,distributors,INSERT
authenticated,distributors,REFERENCES
authenticated,distributors,SELECT
authenticated,distributors,TRIGGER
authenticated,distributors,TRUNCATE
authenticated,distributors,UPDATE
authenticated,districts,DELETE
authenticated,districts,INSERT
authenticated,districts,REFERENCES
authenticated,districts,SELECT
authenticated,districts,TRIGGER
authenticated,districts,TRUNCATE
authenticated,districts,UPDATE
authenticated,employer_invites,DELETE
authenticated,employer_invites,INSERT
authenticated,employer_invites,REFERENCES
authenticated,employer_invites,SELECT
authenticated,employer_invites,TRIGGER
authenticated,employer_invites,TRUNCATE
authenticated,employer_invites,UPDATE
authenticated,employers,DELETE
authenticated,employers,INSERT
authenticated,employers,REFERENCES
authenticated,employers,SELECT
authenticated,employers,TRIGGER
authenticated,employers,TRUNCATE
authenticated,employers,UPDATE
authenticated,insurance_policies,DELETE
authenticated,insurance_policies,INSERT
authenticated,insurance_policies,REFERENCES
authenticated,insurance_policies,SELECT
authenticated,insurance_policies,TRIGGER
authenticated,insurance_policies,TRUNCATE
authenticated,insurance_policies,UPDATE
authenticated,money_nonces,DELETE
authenticated,money_nonces,INSERT
authenticated,money_nonces,REFERENCES
authenticated,money_nonces,SELECT
authenticated,money_nonces,TRIGGER
authenticated,money_nonces,TRUNCATE
authenticated,money_nonces,UPDATE
authenticated,nav_snapshots,DELETE
authenticated,nav_snapshots,INSERT
authenticated,nav_snapshots,REFERENCES
authenticated,nav_snapshots,SELECT
authenticated,nav_snapshots,TRIGGER
authenticated,nav_snapshots,TRUNCATE
authenticated,nav_snapshots,UPDATE
authenticated,nominee_claims,DELETE
authenticated,nominee_claims,INSERT
authenticated,nominee_claims,REFERENCES
authenticated,nominee_claims,SELECT
authenticated,nominee_claims,TRIGGER
authenticated,nominee_claims,TRUNCATE
authenticated,nominee_claims,UPDATE
authenticated,nominees,DELETE
authenticated,nominees,INSERT
authenticated,nominees,REFERENCES
authenticated,nominees,SELECT
authenticated,nominees,TRIGGER
authenticated,nominees,TRUNCATE
authenticated,nominees,UPDATE
authenticated,notifications,DELETE
authenticated,notifications,INSERT
authenticated,notifications,REFERENCES
authenticated,notifications,SELECT
authenticated,notifications,TRIGGER
authenticated,notifications,TRUNCATE
authenticated,notifications,UPDATE
authenticated,regions,DELETE
authenticated,regions,INSERT
authenticated,regions,REFERENCES
authenticated,regions,SELECT
authenticated,regions,TRIGGER
authenticated,regions,TRUNCATE
authenticated,regions,UPDATE
authenticated,settlement_batches,DELETE
authenticated,settlement_batches,INSERT
authenticated,settlement_batches,REFERENCES
authenticated,settlement_batches,SELECT
authenticated,settlement_batches,TRIGGER
authenticated,settlement_batches,TRUNCATE
authenticated,settlement_batches,UPDATE
authenticated,settlement_uploads,DELETE
authenticated,settlement_uploads,INSERT
authenticated,settlement_uploads,REFERENCES
authenticated,settlement_uploads,SELECT
authenticated,settlement_uploads,TRIGGER
authenticated,settlement_uploads,TRUNCATE
authenticated,settlement_uploads,UPDATE
authenticated,subscriber_balances,DELETE
authenticated,subscriber_balances,INSERT
authenticated,subscriber_balances,REFERENCES
authenticated,subscriber_balances,SELECT
authenticated,subscriber_balances,TRIGGER
authenticated,subscriber_balances,TRUNCATE
authenticated,subscriber_balances,UPDATE
authenticated,subscriber_balances_pre_nav,DELETE
authenticated,subscriber_balances_pre_nav,INSERT
authenticated,subscriber_balances_pre_nav,REFERENCES
authenticated,subscriber_balances_pre_nav,SELECT
authenticated,subscriber_balances_pre_nav,TRIGGER
authenticated,subscriber_balances_pre_nav,TRUNCATE
authenticated,subscriber_balances_pre_nav,UPDATE
authenticated,subscriber_insurance_products,DELETE
authenticated,subscriber_insurance_products,INSERT
authenticated,subscriber_insurance_products,REFERENCES
authenticated,subscriber_insurance_products,SELECT
authenticated,subscriber_insurance_products,TRIGGER
authenticated,subscriber_insurance_products,TRUNCATE
authenticated,subscriber_insurance_products,UPDATE
authenticated,subscriber_signup_uploads,DELETE
authenticated,subscriber_signup_uploads,INSERT
authenticated,subscriber_signup_uploads,REFERENCES
authenticated,subscriber_signup_uploads,SELECT
authenticated,subscriber_signup_uploads,TRIGGER
authenticated,subscriber_signup_uploads,TRUNCATE
authenticated,subscriber_signup_uploads,UPDATE
authenticated,subscribers,DELETE
authenticated,subscribers,INSERT
authenticated,subscribers,REFERENCES
authenticated,subscribers,SELECT
authenticated,subscribers,TRIGGER
authenticated,subscribers,TRUNCATE
authenticated,subscribers_unit_value_pre_nav,DELETE
authenticated,subscribers_unit_value_pre_nav,INSERT
authenticated,subscribers_unit_value_pre_nav,REFERENCES
authenticated,subscribers_unit_value_pre_nav,SELECT
authenticated,subscribers_unit_value_pre_nav,TRIGGER
authenticated,subscribers_unit_value_pre_nav,TRUNCATE
authenticated,subscribers_unit_value_pre_nav,UPDATE
authenticated,transactions,DELETE
authenticated,transactions,INSERT
authenticated,transactions,REFERENCES
authenticated,transactions,SELECT
authenticated,transactions,TRIGGER
authenticated,transactions,TRUNCATE
authenticated,transactions,UPDATE
authenticated,users,DELETE
authenticated,users,INSERT
authenticated,users,REFERENCES
authenticated,users,TRIGGER
authenticated,users,TRUNCATE
authenticated,withdrawals,DELETE
authenticated,withdrawals,INSERT
authenticated,withdrawals,REFERENCES
authenticated,withdrawals,SELECT
authenticated,withdrawals,TRIGGER
authenticated,withdrawals,TRUNCATE
authenticated,withdrawals,UPDATE
